"donor_id","age","gender","country","region","segment","birth_year","age_at_observation","recency_days_12m","frequency_12m","monetary_total_12m","monetary_mean_12m","monetary_max_12m","monetary_min_12m","recency_days_24m","frequency_24m","monetary_total_24m","monetary_mean_24m","monetary_max_24m","monetary_min_24m","amount_trend","count_trend","amount_growth","lifetime_donations","lifetime_amount","days_since_first","days_since_last","donor_age_days","avg_days_between","is_new_donor","target_donated","target_amount"
4,61,"M","USA","North","Gold",1957,61,365,0,0,0,0,0,480,1,180.58,180.58,180.58,180.58,0,0,0,18,2338.93,2286,480,2286,134.470588235294,0,0,0
6,50,"F","Germany","South","Gold",1968,50,135,1,178.35,178.35,178.35,178.35,135,5,497.22,99.444,178.35,52.83,0,0,-0.978064162325199,20,2521.69,2263,135,2263,119.105263157895,0,0,0
13,55,"F","USA","West","Silver",1963,55,232,4,297.87,74.4675,95.53,57.6,232,6,532.24,88.7066666666667,129.2,57.6,0,0,-0.98674926292775,12,1031.96,2000,232,2000,181.818181818182,0,0,0
19,61,"F","Germany","East","Gold",1957,61,192,3,461.16,153.72,232.88,85.72,192,5,681.48,136.296,232.88,85.72,0,0,-0.991400808324018,20,2416.62,2247,192,2247,118.263157894737,0,0,0
23,44,"M","Other","East","Silver",1974,44,325,1,87.88,87.88,87.88,87.88,325,2,178.08,89.04,90.2,87.88,0,0,-0.956464954288202,7,588.58,2197,325,2197,366.166666666667,0,0,0
36,41,"M","Canada","West","Silver",1977,41,121,3,402.72,134.24,155.69,110.35,121,3,402.72,134.24,155.69,110.35,0,0,-0.990165224232887,6,599.09,2269,121,2269,453.8,0,0,0
42,86,"M","USA","North","Bronze",1932,86,217,1,19.83,19.83,19.83,19.83,217,1,19.83,19.83,19.83,19.83,0,0,-0.832144355853966,5,293.18,1754,217,1754,438.5,0,0,0
48,66,"F","USA","West","Silver",1952,66,365,0,0,0,0,0,391,2,99.06,49.53,58.47,40.59,0,0,0,7,467.74,1526,391,1526,254.333333333333,0,0,0
51,57,"F","UK","West","Bronze",1961,57,326,1,53.45,53.45,53.45,53.45,326,1,53.45,53.45,53.45,53.45,0,0,-0.930374238468233,3,80.72,2102,326,2102,1051,0,0,0
52,34,"F","Other","North","Gold",1984,34,365,0,0,0,0,0,427,6,664.43,110.738333333333,167.9,40.76,0,0,0,22,2592.41,2216,427,2216,105.52380952381,0,0,0
