"id","date","amount"
1,2013-11-14,24.74
1,2014-05-29,48.4
1,2015-05-07,83.91
1,2015-12-10,68.94
2,2012-03-01,148.76
2,2012-04-18,24.27
2,2012-07-20,66.47
2,2012-07-29,256.56
2,2013-07-21,86.91
2,2013-08-20,87.18
3,2012-01-16,50.29
3,2012-02-08,109.16
3,2012-02-16,10
3,2012-05-18,82.14
3,2012-07-09,51.32
3,2013-01-21,116.39
3,2013-03-06,126.95
3,2013-04-05,156.96
3,2013-04-20,10
3,2013-04-25,30.67
3,2013-10-01,86.15
3,2014-05-27,73.31
3,2014-05-28,19.4
4,2012-01-27,129.13
4,2012-09-08,108.69
4,2012-10-06,43.82
4,2012-12-18,96.99
4,2013-03-08,101.93
4,2013-05-14,104.32
4,2013-06-20,65.7
4,2013-09-09,163.58
4,2013-10-12,222.92
4,2014-03-20,167.28
4,2014-07-06,118.26
4,2014-07-13,144.65
4,2015-02-06,133.9
4,2015-06-07,201.89
4,2015-09-01,99.25
4,2015-10-12,87.67
4,2016-04-18,168.37
4,2017-01-06,180.58
5,2012-07-01,123.9
5,2013-08-28,75.44
5,2014-04-13,111
5,2014-05-27,107.41
5,2014-07-15,67.37
5,2014-08-25,152.98
5,2014-09-05,96.99
5,2014-12-13,282.2
5,2015-01-11,83.83
5,2015-04-16,190.87
5,2015-06-21,182.86
5,2016-09-16,136.39
5,2017-08-17,68.78
5,2017-10-27,18.23
5,2018-03-19,101.97
5,2018-04-07,149.99
6,2012-02-19,146.11
6,2012-07-01,47.02
6,2012-10-10,170.5
6,2012-12-08,193.44
6,2013-02-14,148.43
6,2013-04-08,133.6
6,2014-08-22,147.66
6,2014-09-08,117.9
6,2014-09-20,83.15
6,2014-10-14,118.69
6,2015-02-10,110.81
6,2015-02-21,146.24
6,2015-04-16,122.04
6,2015-09-30,159.9
6,2016-04-17,178.98
6,2016-06-06,124.51
6,2016-06-21,73.91
6,2016-09-17,52.83
6,2017-04-19,67.62
6,2017-12-17,178.35
6,2018-10-03,152.52
7,2012-05-13,23.46
7,2012-08-29,10
7,2013-01-21,32.61
7,2013-03-09,64.22
7,2013-03-15,45.43
8,2012-07-16,48.26
8,2012-07-31,112.78
8,2012-08-03,99.93
8,2012-08-06,41.39
8,2013-03-13,104.26
9,2012-02-29,167.91
9,2012-05-14,156.45
9,2012-09-05,133.71
9,2012-09-28,182.78
9,2012-10-31,14.34
9,2013-03-07,171.14
9,2013-03-30,149.62
9,2013-08-11,149.72
9,2013-11-09,24.64
9,2014-05-26,197.17
9,2014-08-10,195.11
9,2016-04-24,89.97
9,2017-01-09,116.53
9,2017-04-13,173.8
9,2017-04-30,142.99
9,2018-01-04,60.34
9,2018-01-05,107.86
9,2018-03-30,117.58
9,2018-04-17,80.01
9,2018-04-26,119.58
9,2018-06-16,184.64
10,2012-09-01,59.28
10,2012-10-07,18.02
11,2013-04-17,46.82
11,2013-07-17,67.04
11,2015-07-03,26.37
12,2012-02-20,109.03
12,2012-11-10,66.43
12,2013-06-26,112.8
12,2013-09-05,58.45
12,2013-10-15,11.05
13,2012-11-08,122.82
13,2012-12-12,138.63
13,2013-02-14,40.85
13,2013-03-20,85.45
13,2014-04-30,54.14
13,2014-09-19,57.83
13,2016-07-08,129.2
13,2017-03-17,105.17
13,2017-05-13,62.62
13,2017-05-21,57.6
13,2017-06-23,82.12
13,2017-09-11,95.53
13,2018-09-09,111.3
13,2018-12-12,160.41
14,2012-05-23,144.29
14,2013-02-25,88.59
14,2013-06-13,97.57
14,2013-10-31,224.51
14,2013-12-23,270.05
14,2015-04-30,137.88
14,2015-10-10,10
14,2015-11-19,133.24
14,2015-12-19,13
14,2016-01-30,69.27
14,2016-10-06,46.49
14,2017-02-05,117.48
14,2017-05-10,152.55
14,2017-09-22,152.69
14,2018-03-07,79.81
14,2018-03-24,103.53
14,2018-10-21,116.02
15,2012-04-17,74.93
15,2012-09-15,102.32
15,2014-07-24,78.48
15,2014-11-02,87.11
15,2014-12-11,74.44
15,2016-05-30,113.42
15,2016-07-18,90.03
15,2018-05-26,43.7
16,2012-03-06,58.7
16,2012-06-12,197.54
16,2012-09-19,100.79
16,2012-12-26,116.55
16,2014-01-22,117.8
16,2014-02-11,91.79
16,2014-03-15,126.59
16,2014-06-09,165.38
16,2014-07-04,88.27
16,2014-07-13,142.97
16,2014-09-07,160.48
16,2014-09-15,59.63
16,2014-10-10,66.44
16,2015-01-01,168.32
16,2015-06-23,163.42
16,2015-10-15,122.41
16,2015-11-09,127.99
16,2016-03-31,71.21
16,2016-05-21,123.67
16,2016-05-30,87.66
16,2016-08-02,148.17
16,2016-10-27,143.24
16,2016-12-22,81.95
16,2017-09-22,151.47
16,2017-10-25,169.72
16,2018-03-08,109.68
16,2018-09-06,158.81
16,2018-09-09,81.42
16,2018-11-19,141.87
17,2013-09-28,42.46
17,2014-07-10,57.15
18,2013-03-07,39.12
18,2013-04-01,87.7
18,2013-04-10,10.72
18,2013-04-11,86
18,2013-09-22,76.6
18,2013-12-27,118.24
18,2014-02-22,42.54
19,2012-03-06,136.17
19,2012-11-20,153.41
19,2013-02-15,165.87
19,2013-03-09,160.15
19,2013-04-03,86.96
19,2013-07-09,10
19,2013-07-14,143.22
19,2013-12-02,160.45
19,2014-03-27,109.21
19,2015-06-05,61.76
19,2015-06-10,97.47
19,2015-10-14,94.2
19,2016-02-12,137.61
19,2016-03-15,80.47
19,2016-04-30,138.19
19,2016-06-02,99.29
19,2016-09-25,121.03
19,2017-08-22,232.88
19,2017-10-12,85.72
19,2017-10-21,142.56
19,2018-08-03,161.67
20,2012-02-21,87.14
20,2012-07-09,41.86
20,2012-09-29,83.15
20,2013-01-08,91.62
20,2014-04-12,116.69
20,2014-05-03,109.55
20,2014-11-23,82.29
21,2012-04-11,102.65
21,2012-04-26,133.64
21,2012-11-25,85.94
22,2012-11-06,188.3
22,2013-02-11,86.15
22,2013-10-23,116.75
22,2013-10-25,124.3
22,2014-02-01,146.44
22,2014-03-03,45.74
22,2014-10-20,19.85
23,2012-04-25,52.48
23,2012-09-25,54.04
23,2013-05-04,119.61
23,2015-05-22,50.41
23,2015-09-06,133.96
23,2017-01-24,90.2
23,2017-06-10,87.88
24,2012-01-20,49.62
24,2012-02-12,175.97
24,2012-03-08,46.33
24,2012-04-22,80.91
24,2012-06-08,245.75
24,2012-06-09,128.14
24,2013-06-04,101.22
24,2013-11-24,300.12
24,2015-01-20,191.31
25,2012-03-06,63.41
25,2013-11-19,35.07
25,2014-11-16,57.49
26,2012-02-15,168.18
26,2012-05-23,120.28
26,2012-07-04,102.23
26,2012-09-05,140.13
26,2013-01-20,125.91
26,2013-04-09,87.64
26,2013-08-17,134.39
26,2013-09-13,124.79
26,2013-12-13,124.55
26,2014-04-10,91.68
26,2014-04-18,84.58
26,2014-04-21,92.53
26,2014-05-01,148.34
26,2015-02-21,133.18
26,2015-04-25,85.13
26,2015-12-09,91.25
26,2016-02-26,155.57
26,2016-02-28,186
26,2016-11-07,174.51
26,2016-12-28,35.31
26,2017-02-06,120.36
26,2017-07-31,167.39
26,2017-08-07,10
26,2017-12-08,112.33
26,2018-01-08,157.3
26,2018-01-29,139.33
26,2018-04-09,73.05
26,2018-04-22,135.28
26,2018-09-09,135.45
27,2012-06-04,146.39
27,2013-07-27,85.66
27,2014-09-29,45.96
27,2015-06-26,64.6
27,2015-07-23,40.84
27,2016-02-10,10
28,2012-04-24,75.38
28,2013-08-18,10
29,2012-09-19,51.61
29,2014-04-14,49.83
30,2013-02-06,51.81
30,2013-11-29,88.19
31,2012-11-12,68.9
31,2013-01-18,58.34
31,2014-01-27,77.32
32,2012-02-24,98.69
32,2012-12-05,38.06
33,2012-05-25,10
33,2013-09-27,64.36
33,2014-07-05,38.71
33,2014-07-12,108.64
33,2015-03-17,49.36
34,2012-03-05,92
34,2013-01-07,91.12
34,2013-01-19,84
34,2013-01-31,123.17
34,2013-03-06,104.73
34,2013-09-07,170.56
34,2013-09-28,117.79
34,2014-04-06,134.81
34,2014-06-17,104.84
34,2015-08-18,92.77
34,2015-09-25,164.59
34,2015-11-29,74.84
34,2016-04-24,63.82
34,2017-06-29,185.88
34,2017-10-08,82.68
34,2017-10-20,82.35
34,2017-11-05,193.93
34,2018-04-17,89.46
35,2012-01-04,10
35,2014-02-27,36.87
36,2012-02-13,70.94
36,2014-08-29,59.67
36,2016-03-09,65.76
36,2017-10-01,110.35
36,2017-11-16,155.69
36,2017-12-31,136.68
36,2018-09-25,42.76
37,2012-05-09,83.41
38,2012-04-28,154.18
38,2012-09-19,29.04
38,2013-08-02,88.42
38,2013-11-29,23.3
38,2013-12-12,109.45
38,2014-04-02,141.22
38,2015-05-21,83.35
38,2015-08-01,71.55
39,2012-01-01,99.87
39,2012-10-24,147.66
39,2012-12-24,78.2
39,2013-03-15,29.2
39,2014-04-18,96.72
39,2014-08-02,91.68
39,2014-11-27,250.46
39,2015-04-21,118.3
39,2015-06-03,204.68
39,2015-08-25,170.14
40,2012-05-25,55.88
41,2012-02-04,62.28
42,2013-07-12,66.01
42,2014-06-11,75.03
42,2014-11-25,73.16
42,2014-12-03,59.15
42,2017-09-26,19.83
43,2012-08-03,58.61
43,2014-03-17,86.26
43,2014-04-28,57.43
44,2012-10-28,118.05
45,2012-02-14,27.03
45,2012-05-15,57.38
45,2014-04-15,69.75
45,2014-06-16,37.72
45,2014-12-29,54.39
46,2012-05-19,49.08
47,2012-09-18,179.29
47,2012-12-07,63.06
47,2013-05-14,107.75
47,2013-07-22,76.37
47,2013-09-22,152.55
47,2014-01-15,106.47
47,2014-07-08,107.93
47,2014-07-26,136.58
47,2014-10-12,72.73
48,2014-02-25,61.17
48,2014-04-01,38.1
48,2014-06-26,120.88
48,2015-03-10,94.3
48,2016-01-10,54.23
48,2016-05-31,58.47
48,2017-04-05,40.59
49,2012-02-13,74.96
49,2012-05-07,161.81
49,2012-07-20,103.67
50,2014-08-01,40.65
51,2012-07-29,10
51,2015-10-12,17.27
51,2017-06-09,53.45
51,2018-12-05,101.5
52,2012-04-06,172.57
52,2012-04-29,74.05
52,2012-06-22,149.93
52,2012-11-02,68.76
52,2013-03-01,107.05
52,2013-04-13,168.19
52,2013-07-29,162.01
52,2014-01-02,162.93
52,2014-06-14,114.95
52,2015-04-11,79.14
52,2015-04-23,31.88
52,2015-10-30,76.66
52,2015-11-03,132.81
52,2015-12-02,144.73
52,2016-02-12,148.88
52,2016-04-21,133.44
52,2016-08-15,117.45
52,2016-09-17,40.76
52,2016-09-30,107.57
52,2016-11-07,167.9
52,2017-01-04,107.48
52,2017-02-28,123.27
52,2018-08-06,197.18
53,2012-01-03,15.13
54,2012-07-09,55.47
55,2012-01-07,38.87
55,2012-02-19,150.79
55,2012-05-23,46.35
55,2012-12-13,43.88
55,2012-12-30,44.1
55,2013-01-05,102.44
55,2013-01-06,31.62
55,2014-02-20,74.73
55,2014-04-12,104.09
